año; claro ; entel ;movistar
2005; 41,061 ; 50,385 ; 534,980 
2006; 198,368 ; 67,569 ; 722,162 
2007; 343,607 ; 113,312 ; 1,001,873 
2008; 582,130 ; 170,296 ; 1,409,850 
2009; 771,496 ; 168,040 ; 1,781,214 
2010; 996,318 ; 130,374 ; 2,779,636 
2011; 1,573,924 ; 127,181 ; 4,089,786 
2012; 2,252,225 ; 131,288 ; 4,667,284 
2013; 3,099,066 ; 71,857 ; 4,976,143 
2014; 3,695,736 ; 59,279 ; 5,451,872 
2015; 3,937,604 ; 66,026 ; 5,465,928 
2016; 4,239,353 ; 44,294 ; 5,517,822 
2017; 4,299,618 ; 53,113 ; 5,544,417 
2018; 2,558,617 ; 67,667 ; 3,662,579 
2019; 470,036 ; 89,342 ; 1,378,460 
2020; 399,949 ; 107,356 ; 1,123,464 
2021; 434,509 ; 256,171 ; 1,285,585 
2022; 438,592 ; 107,588 ; 1,785,948 
