id_usuario,género,edad,país,tipo_suscripción,tiempo_escucha,canciones_por_día,tasa_de_saltos,tipo_de_dispositivo,anuncios_por_semana,escucha_sin_conexion,cancelo_suscripcion
1,Femenino,54,Canadá,Gratis,26,23,0.2,Computadora,31,No,Sí
2,Otro,33,Alemania,Familiar,141,62,0.34,Web,0,Sí,No
3,Masculino,38,Australia,Premium,199,38,0.04,Móvil,0,Sí,Sí
4,Femenino,22,Canadá,Estudiante,36,2,0.31,Móvil,0,Sí,No
5,Otro,29,EE.UU.,Familiar,250,57,0.36,Móvil,0,Sí,Sí
6,Femenino,17,Australia,Gratis,219,35,0.46,Computadora,13,No,No
7,Femenino,39,Reino Unido,Premium,289,44,0.38,Computadora,0,Sí,No
8,Femenino,41,Reino Unido,Gratis,210,68,0.11,Móvil,5,No,No
9,Otro,55,Alemania,Estudiante,50,66,0.29,Web,0,Sí,No
10,Masculino,44,Alemania,Gratis,278,94,0.38,Móvil,44,No,No
11,Otro,33,Alemania,Gratis,86,44,0.11,Web,37,No,No
12,Otro,24,Canadá,Gratis,113,24,0.56,Computadora,39,No,Sí
13,Femenino,37,IN,Familiar,24,86,0.11,Computadora,0,Sí,No
14,Femenino,53,EE.UU.,Premium,45,47,0.6,Web,0,Sí,No
15,Otro,37,IN,Familiar,114,13,0.44,Web,0,Sí,Sí
16,Masculino,25,Francia,Estudiante,230,25,0.26,Computadora,0,Sí,No
17,Femenino,36,Alemania,Estudiante,181,93,0.23,Móvil,0,Sí,No
18,Masculino,58,EE.UU.,Familiar,120,8,0.41,Computadora,0,Sí,No
19,Femenino,34,Alemania,Familiar,160,32,0.35,Móvil,0,Sí,No
20,Masculino,35,Reino Unido,Estudiante,281,51,0.35,Computadora,0,Sí,No
21,Femenino,33,Australia,Estudiante,138,60,0.6,Web,0,Sí,No
22,Masculino,49,Australia,Premium,20,7,0.45,Computadora,0,Sí,No
23,Femenino,45,PK,Familiar,138,95,0.1,Computadora,0,Sí,No
24,Masculino,44,Canadá,Familiar,134,97,0.42,Web,0,Sí,No
