identificacion,fecha,precio,dormitorios,baños,metros2habitable,metros2lote,metros2arriba,metros2sotano,pisos,año_construccion,año_renovacion,latitud,longitud
7129300520,20141013T000000,221900.0,3,1.0,109.62554,524.9019499999999,109.62554,0.0,1.0,1955,0,47.5112,-122.257
6414100192,20141209T000000,538000.0,3,2.25,238.76071,672.803526,201.59951,37.1612,2.0,1951,1991,47.721,-122.319
5631500400,20150225T000000,180000.0,2,1.0,71.53531,929.03,71.53531,0.0,1.0,1933,0,47.7379,-122.233
2487200875,20141209T000000,604000.0,4,3.0,182.08988,464.515,97.54814999999999,84.54173,1.0,1965,0,47.5208,-122.393
1954400510,20150218T000000,510000.0,3,2.0,156.07704,750.65624,156.07704,0.0,1.0,1987,0,47.6168,-122.045
7237550310,20140512T000000,1225000.0,4,4.5,503.53426,9469.60279,361.39267,142.14159,1.0,2001,0,47.6561,-122.005
1321400060,20140627T000000,257500.0,3,2.25,159.328645,633.505557,159.328645,0.0,2.0,1995,0,47.3097,-122.327
2008000270,20150115T000000,291850.0,3,1.5,98.47718,902.181033,98.47718,0.0,1.0,1963,0,47.4095,-122.315
2414600126,20150415T000000,229500.0,3,1.0,165.36734,693.98541,97.54814999999999,67.81919,1.0,1960,0,47.5123,-122.337
3793500160,20150312T000000,323000.0,3,2.5,175.58667,609.44368,175.58667,0.0,2.0,2003,0,47.3684,-122.031
1736800520,20150403T000000,662500.0,3,2.5,330.73468,910.0777879999999,172.79958,157.9351,1.0,1965,0,47.6007,-122.145
9212900260,20140527T000000,468000.0,2,1.0,107.76748,557.418,79.89658,27.8709,1.0,1942,0,47.69,-122.292
114101516,20140528T000000,310000.0,3,1.0,132.85129,1848.862603,132.85129,0.0,1.5,1927,0,47.7558,-122.229
6054650070,20141007T000000,400000.0,3,1.75,127.27711,899.30104,127.27711,0.0,1.0,1977,0,47.6127,-122.045
1175000570,20150312T000000,530000.0,5,2.0,168.15443,450.57955,168.15443,0.0,1.5,1900,0,47.67,-122.394
9297300055,20150124T000000,650000.0,4,3.0,274.06385,464.515,183.94794,90.11591,2.0,1979,0,47.5714,-122.375
1875500060,20140731T000000,395000.0,3,2.0,175.58667,1304.35812,175.58667,0.0,2.0,1994,0,47.7277,-121.962
6865200140,20140529T000000,485000.0,4,1.0,148.6448,399.4829,148.6448,0.0,1.5,1916,0,47.6648,-122.343
16000397,20141205T000000,189000.0,2,1.0,111.4836,915.09455,111.4836,0.0,1.0,1921,0,47.3089,-122.21
7983200060,20150424T000000,230000.0,3,1.0,116.12875,908.033922,116.12875,0.0,1.0,1969,0,47.3343,-122.306
6300500875,20140514T000000,385000.0,4,1.75,150.50286,462.65694,79.89658,70.60628,1.0,1947,0,47.7025,-122.341
2524049179,20140826T000000,2000000.0,3,2.75,283.35415,4168.278901,216.46399,66.89016,1.0,1968,0,47.5316,-122.233
7137970340,20140703T000000,285000.0,5,2.5,210.88981,585.2889,210.88981,0.0,2.0,1995,0,47.3266,-122.169
8091400200,20140516T000000,252700.0,2,1.5,99.40621,895.863629,99.40621,0.0,1.0,1985,0,47.3533,-122.166
3814700200,20141120T000000,329000.0,3,2.25,227.61235,603.8695,227.61235,0.0,2.0,1985,0,47.3739,-122.172
1202000200,20141103T000000,233000.0,3,2.0,158.86413,436.365391,158.86413,0.0,1.5,1941,0,47.3048,-122.218
1794500383,20140626T000000,937000.0,3,1.75,227.61235,250.001973,162.58025,65.0321,2.0,1915,0,47.6386,-122.36
3303700376,20141201T000000,667000.0,3,1.0,130.0642,146.879643,130.0642,0.0,1.5,1909,0,47.6221,-122.314
5101402488,20140624T000000,438000.0,3,1.75,141.21256,592.72114,73.39337,67.81919,1.0,1948,0,47.695,-122.304
1873100390,20150302T000000,719000.0,4,2.5,238.76071,666.393219,238.76071,0.0,2.0,2005,0,47.7073,-122.11
8562750320,20141110T000000,580500.0,3,2.5,215.53496,369.75394,215.53496,0.0,2.0,2003,0,47.5391,-122.07
2426039314,20141201T000000,280000.0,2,1.5,110.55457,117.522295,110.55457,0.0,3.0,2005,0,47.7274,-122.357
461000390,20140624T000000,687500.0,4,1.75,216.46399,464.515,140.28353,76.18046,1.5,1929,0,47.6823,-122.368
7589200193,20141110T000000,535000.0,3,1.0,101.26427,278.709,101.26427,0.0,1.5,1929,0,47.6889,-122.375
7955080270,20141203T000000,322500.0,4,2.75,191.38018,618.641077,118.91584,72.46433999999999,1.0,1981,0,47.4276,-122.157
9547205180,20140613T000000,696000.0,3,2.5,213.6769,284.28318,140.28353,73.39337,1.5,1930,2002,47.6827,-122.31
9435300030,20140528T000000,550000.0,4,1.0,154.21898,3237.483744,86.39979,67.81919,1.0,1933,0,47.6621,-122.132
2768000400,20141230T000000,640000.0,4,2.0,219.25108,557.418,219.25108,0.0,2.0,1904,0,47.6702,-122.362
7895500070,20150213T000000,240000.0,4,1.0,113.34166,750.191725,82.68367,30.657989999999998,1.0,1969,0,47.3341,-122.282
2078500320,20140620T000000,605000.0,4,2.5,243.40586,701.696359,243.40586,0.0,2.0,1996,0,47.5301,-122.18
5547700270,20140715T000000,625000.0,4,2.5,238.76071,512.82456,238.76071,0.0,2.0,2000,0,47.6145,-122.027
7766200013,20140811T000000,775000.0,4,2.25,392.05066,2246.951958,241.5478,150.50286,1.0,1984,0,47.445,-122.347
7203220400,20140707T000000,861990.0,5,2.75,333.986285,523.880017,333.986285,0.0,2.0,2014,0,47.6848,-122.016
9270200160,20141028T000000,685000.0,3,1.0,145.85771,211.81884,145.85771,0.0,2.0,1922,0,47.6413,-122.364
1432701230,20140729T000000,309000.0,3,1.0,118.91584,897.071368,85.47076,33.44508,1.0,1959,0,47.4485,-122.175
8035350320,20140718T000000,488000.0,3,2.5,293.57348,1263.759509,293.57348,0.0,2.0,2003,0,47.7443,-121.977
8945200830,20150325T000000,210490.0,3,1.0,91.97397,792.276784,91.97397,0.0,1.0,1966,0,47.3066,-122.371
4178300310,20140716T000000,785000.0,4,2.5,212.74787,1246.386648,212.74787,0.0,2.0,1981,0,47.6194,-122.151
9215400105,20150428T000000,450000.0,3,1.75,116.12875,553.980589,116.12875,0.0,1.0,1953,0,47.6796,-122.301
822039084,20150311T000000,1350000.0,3,2.5,255.761959,6039.159515,201.134995,54.626964,1.0,1953,0,47.4041,-122.451
5245600105,20140916T000000,228000.0,3,1.0,110.55457,854.614697,110.55457,0.0,1.0,1955,0,47.4258,-122.322
7231300125,20150217T000000,345000.0,5,2.5,292.64445,848.576002,152.36092,140.28353,1.0,1966,0,47.4934,-122.189
7518505990,20141231T000000,600000.0,3,1.75,130.99323,379.04424,92.903,38.09023,1.0,1950,0,47.6808,-122.384
3626039271,20150205T000000,585000.0,2,1.75,183.94794,794.32065,91.97397,91.97397,1.0,1981,0,47.6989,-122.369
4217401195,20150303T000000,920000.0,5,2.25,253.62519,557.418,197.88339,55.7418,1.5,1927,0,47.6571,-122.281
9822700295,20140512T000000,885000.0,4,2.5,262.91549,464.515,262.91549,0.0,2.0,1995,0,47.6597,-122.29
9478500640,20140819T000000,292500.0,4,2.5,209.03175,417.59898499999997,209.03175,0.0,2.0,2008,0,47.3663,-122.114
2799800710,20150407T000000,301000.0,3,2.5,224.82526,441.28925,224.82526,0.0,2.0,2003,0,47.3663,-122.122
7922800400,20140827T000000,951000.0,5,3.25,301.93475,1332.414826,301.93475,0.0,2.0,1968,0,47.588,-122.116
8079040320,20150223T000000,430000.0,4,3.0,171.87055,926.800328,171.87055,0.0,2.0,1991,0,47.5059,-122.149
