"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"masculino","group A","high school","standard","completed","67","67","63"
"femenino","group D","some high school","free/reduced","none","40","59","55"
"masculino","group E","some college","free/reduced","none","59","60","50"
"masculino","group B","high school","standard","none","77","78","68"
"masculino","group E","associate's degree","standard","completed","78","73","68"
"femenino","group D","high school","standard","none","63","77","76"
"femenino","group A","bachelor's degree","standard","none","62","59","63"
"masculino","group E","some college","standard","completed","93","88","84"
"masculino","group D","high school","standard","none","63","56","65"
"masculino","group C","some college","free/reduced","none","47","42","45"
"masculino","group E","some college","standard","completed","99","83","85"
"femenino","group D","high school","standard","completed","80","87","90"
"masculino","group D","associate's degree","standard","completed","77","87","85"
"masculino","group C","high school","standard","completed","74","74","73"
"masculino","group E","some high school","standard","completed","81","87","85"
"masculino","group E","associate's degree","free/reduced","none","69","61","57"
"masculino","group B","high school","standard","none","58","47","42"
"femenino","group C","associate's degree","standard","completed","54","62","65"
"femenino","group C","associate's degree","free/reduced","none","23","44","44"
"masculino","group C","some college","free/reduced","none","39","32","31"
"femenino","group C","associate's degree","standard","none","83","76","88"
"masculino","group C","associate's degree","standard","none","58","52","55"
"masculino","group B","some college","standard","completed","71","69","73"
"femenino","group B","some college","free/reduced","none","44","55","54"
"masculino","group E","some high school","free/reduced","none","46","38","32"
"masculino","group C","high school","free/reduced","none","51","45","42"
"femenino","group C","some high school","standard","none","53","60","56"
"masculino","group E","high school","standard","none","71","68","60"
"femenino","group B","high school","standard","completed","74","89","89"
"femenino","group A","some high school","free/reduced","none","33","54","51"
"masculino","group B","some college","standard","none","87","79","77"
"masculino","group A","bachelor's degree","free/reduced","none","78","74","73"
"masculino","group A","some high school","free/reduced","completed","40","41","39"
"femenino","group B","associate's degree","standard","completed","65","65","71"
"femenino","group B","bachelor's degree","standard","completed","79","88","89"
"femenino","group A","bachelor's degree","standard","none","68","74","74"
"femenino","group C","some college","standard","completed","57","77","75"
"masculino","group B","high school","free/reduced","none","67","65","54"
"femenino","group B","some college","free/reduced","completed","58","68","73"
"masculino","group E","associate's degree","standard","none","98","81","77"
"femenino","group B","master's degree","free/reduced","none","54","75","72"
"masculino","group D","high school","standard","none","77","67","64"
"masculino","group E","high school","standard","completed","87","79","82"
"femenino","group C","master's degree","standard","none","58","70","70"
"masculino","group E","high school","standard","none","100","88","87"
"masculino","group C","bachelor's degree","standard","none","60","46","51"
"masculino","group C","associate's degree","free/reduced","none","64","63","57"
"femenino","group E","some high school","standard","completed","65","76","78"
"femenino","group D","high school","standard","none","68","72","73"
"masculino","group C","associate's degree","free/reduced","completed","60","63","57"
"masculino","group D","high school","standard","none","65","68","64"
"femenino","group C","some high school","free/reduced","none","52","58","60"
"femenino","group C","associate's degree","standard","none","74","81","85"
"femenino","group C","high school","free/reduced","none","36","53","49"
"masculino","group D","high school","free/reduced","none","57","57","47"
"femenino","group C","some college","standard","completed","56","60","62"
"femenino","group C","bachelor's degree","standard","completed","67","80","84"
"masculino","group D","associate's degree","standard","completed","88","87","83"
"femenino","group D","some college","free/reduced","none","42","61","51"
"masculino","group E","some high school","standard","none","68","51","48"
"masculino","group D","some college","free/reduced","none","76","66","68"
"femenino","group E","some high school","standard","none","58","63","59"
"masculino","group E","some high school","standard","completed","69","67","62"
"masculino","group A","bachelor's degree","standard","completed","77","82","78"
"masculino","group D","master's degree","standard","completed","83","93","97"
"femenino","group C","some high school","free/reduced","completed","49","74","70"
"masculino","group C","high school","standard","none","71","60","56"
